,appid,playtime_forever,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,rtime_last_played,playtime_2weeks,player
61,787480,372,372,0,0,1665457684,,2
62,638970,0,0,0,0,0,,2
63,582010,1133,1133,0,0,1657065503,,2
64,714010,79,79,0,0,1613072380,,2
65,927890,7,0,0,0,1555545185,,2
66,945360,1074,1074,0,0,1654218571,,2
67,948740,1654,1654,0,0,1574535129,,2
68,963690,10,0,0,0,1545892760,,2
69,973760,354,354,0,0,1602981788,,2
70,987720,3,3,0,0,1567088743,,2
71,1000360,16,16,0,0,1613647832,,2
72,1091500,5083,5083,0,0,1664568054,,2
73,1097150,120,120,0,0,1599876477,,2
74,1085660,8919,8919,0,0,1623557638,,2
75,1111460,454,454,0,0,1662334301,,2
76,976730,308,308,0,0,1596121101,,2
77,1151640,3880,3880,0,0,1626419207,,2
78,1172470,22545,22545,0,0,1666841786,31.0,2
79,1172380,1427,1427,0,0,1594452668,,2
80,1174180,5092,4881,0,0,1660073707,,2
81,678960,981,981,0,0,1613661671,,2
82,1145360,737,737,0,0,1640244556,,2
83,1217060,73,73,0,0,1649274641,,2
84,1239080,151,151,0,0,1625191210,,2
85,1245620,8162,8162,0,0,1653673008,,2
86,1284410,7242,7242,0,0,1611056804,,2
87,1113000,841,841,0,0,1613646951,,2
88,1289310,0,0,0,0,0,,2
89,424840,0,0,0,0,0,,2
90,601150,210,210,0,0,1655111191,,2
91,1240440,298,298,0,0,1637989642,,2
92,1252330,250,250,0,0,1633325935,,2
93,1832640,14,14,0,0,1656795601,,2
0,242760,739,739,0,0,1661146920,,3
1,268910,483,483,0,0,1643377471,,3
2,343780,271,271,0,0,1661085583,,3
3,367520,4629,4629,0,0,1665396731,,3
4,374320,775,775,0,0,1664980792,,3
5,384180,3716,3716,0,0,1664870636,,3
6,386940,323,323,0,0,1600524206,,3
7,413150,838,838,0,0,1660550484,,3
8,359550,166,166,0,0,1657519507,,3
9,623990,0,0,0,0,0,,3
10,477160,800,360,0,0,1594201450,,3
11,322330,1339,1286,0,0,1665129741,,3
12,598780,7,7,0,0,1625149705,,3
13,632360,1518,1518,0,0,1659577783,,3
14,648800,532,532,0,0,1660750310,,3
15,730,3,3,0,0,1656326631,,3
16,736190,248,0,0,0,1550556788,,3
17,766570,1,1,0,0,1649860668,,3
18,792300,192,192,0,0,1657452136,,3
19,728880,908,908,0,0,1660905786,,3
20,582010,2717,2717,0,0,1607513513,,3
21,945360,664,664,0,0,1663418321,,3
22,1097150,1374,1374,0,0,1658918227,,3
23,690640,277,277,0,0,1613122223,,3
24,1172620,1119,1119,0,0,1650796967,,3
25,1206610,459,459,0,0,1666687255,99.0,3
26,1217060,9259,9259,0,0,1664119577,,3
27,1222670,123,123,0,0,1665152018,,3
28,1361510,321,321,0,0,1661662339,,3
29,1377150,192,192,0,0,1647244817,,3
30,1483870,546,546,0,0,1650091046,,3
31,1509960,308,308,0,0,1643727250,,3
32,1054430,79,79,0,0,1661685010,,3
33,1794680,2524,2524,0,0,1664682703,,3
34,1868140,567,567,0,0,1667528860,567.0,3
35,578080,4,4,0,0,1650092434,,3
36,1942280,1739,1739,0,0,1667490257,113.0,3
37,346110,72,72,0,0,1655484991,,3
38,407530,0,0,0,0,0,,3
